D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\center_2018_01_13_12_38_05_510.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\left_2018_01_13_12_38_05_510.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\right_2018_01_13_12_38_05_510.jpg,0,0,0,2.162201E-05
D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\center_2018_01_13_12_38_05_589.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\left_2018_01_13_12_38_05_589.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\right_2018_01_13_12_38_05_589.jpg,0,0,0,2.163402E-05
D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\center_2018_01_13_12_38_05_665.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\left_2018_01_13_12_38_05_665.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\right_2018_01_13_12_38_05_665.jpg,0,0,0,2.162852E-05
D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\center_2018_01_13_12_38_05_744.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\left_2018_01_13_12_38_05_744.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\right_2018_01_13_12_38_05_744.jpg,0,0,0,2.1623E-05
D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\center_2018_01_13_12_38_05_822.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\left_2018_01_13_12_38_05_822.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\right_2018_01_13_12_38_05_822.jpg,0,0,0,2.161748E-05
D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\center_2018_01_13_12_38_05_897.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\left_2018_01_13_12_38_05_897.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\right_2018_01_13_12_38_05_897.jpg,0,0,0,2.162158E-05
D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\center_2018_01_13_12_38_05_976.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\left_2018_01_13_12_38_05_976.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\right_2018_01_13_12_38_05_976.jpg,0,0,0,2.1635E-05
D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\center_2018_01_13_12_38_06_055.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\left_2018_01_13_12_38_06_055.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\right_2018_01_13_12_38_06_055.jpg,0,0,0,2.163567E-05
D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\center_2018_01_13_12_38_06_130.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\left_2018_01_13_12_38_06_130.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\right_2018_01_13_12_38_06_130.jpg,0,0,0,2.163012E-05
D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\center_2018_01_13_12_38_06_210.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\left_2018_01_13_12_38_06_210.jpg,D:\Desktop\self-driving\term-1\behavioral-cloning\IMG\right_2018_01_13_12_38_06_210.jpg,0,0,0,2.162459E-05
